                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2064,                 1.4372,                 2.6787,                0.83684,                0.91614,                0.94365,                0.70703,                0.77776,                0.58245,                 2.3826,             0.00041542,             0.00041542,             0.00041542
                      2,                0.94013,                0.73184,                  2.429,                0.85889,                0.95006,                0.95063,                 0.7573,                0.68178,                0.51074,                 2.2966,             0.00082179,             0.00082179,             0.00082179
                      3,                0.88968,                0.66713,                 2.3898,                0.81362,                0.89378,                0.89778,                0.73558,                0.61491,                0.49518,                 2.2834,              0.0012178,              0.0012178,              0.0012178
                      4,                0.85101,                 0.6239,                 2.3544,                0.93217,                0.96942,                0.97401,                0.80124,                0.60803,                0.43958,                 2.2513,              0.0012036,              0.0012036,              0.0012036
                      5,                0.80661,                0.58977,                 2.3204,                0.93408,                0.94359,                0.97274,                0.81078,                0.63942,                0.42606,                 2.2074,              0.0011881,              0.0011881,              0.0011881
                      6,                0.78543,                0.56705,                 2.2883,                0.90032,                0.92797,                0.97416,                 0.8403,                0.57102,                0.40352,                 2.1566,              0.0011727,              0.0011727,              0.0011727
                      7,                0.75969,                0.53956,                 2.2632,                0.89927,                0.95724,                0.95141,                0.80079,                0.55488,                0.39432,                 2.1223,              0.0011572,              0.0011572,              0.0011572
                      8,                0.74843,                0.53517,                 2.2351,                0.97752,                0.98233,                0.99278,                0.84352,                0.53575,                 0.3526,                 2.0892,              0.0011417,              0.0011417,              0.0011417
                      9,                0.73164,                0.52127,                 2.2313,                 0.9418,                 0.9839,                0.98982,                0.86974,                0.53922,                0.34798,                 2.0873,              0.0011263,              0.0011263,              0.0011263
                     10,                0.72076,                0.51428,                 2.2154,                0.93005,                0.94747,                0.98497,                0.87335,                0.49144,                0.35275,                 2.0503,              0.0011108,              0.0011108,              0.0011108
                     11,                0.70715,                0.50143,                 2.1898,                0.93756,                0.92931,                0.98526,                0.86335,                0.49576,                0.35783,                 2.0543,              0.0010953,              0.0010953,              0.0010953
                     12,                 0.6992,                0.50126,                  2.204,                0.90081,                0.96576,                0.98762,                  0.883,                  0.485,                0.34849,                 2.0558,              0.0010798,              0.0010798,              0.0010798
                     13,                0.68834,                0.48644,                 2.1904,                0.97356,                0.98219,                0.99309,                0.88457,                 0.4712,                0.33155,                 2.0303,              0.0010644,              0.0010644,              0.0010644
                     14,                0.67666,                 0.4857,                 2.1652,                0.96203,                0.96888,                0.99132,                0.87666,                0.50474,                0.35199,                 1.9881,              0.0010489,              0.0010489,              0.0010489
                     15,                0.67152,                0.47559,                  2.166,                0.90164,                0.94579,                0.97724,                0.88222,                0.43891,                0.33773,                 1.9676,              0.0010334,              0.0010334,              0.0010334
                     16,                0.65635,                0.46438,                 2.1333,                0.90733,                0.99315,                0.98798,                0.89678,                0.44472,                0.30664,                 1.9698,               0.001018,               0.001018,               0.001018
                     17,                0.64832,                 0.4607,                 2.1281,                0.98272,                0.99468,                 0.9939,                0.90258,                0.44509,                0.30621,                 1.9974,              0.0010025,              0.0010025,              0.0010025
                     18,                0.65476,                0.46194,                 2.1447,                0.93263,                0.98638,                0.99189,                0.88683,                0.45085,                0.32165,                 1.9746,             0.00098703,             0.00098703,             0.00098703
                     19,                0.63191,                0.44845,                 2.1087,                0.91406,                0.97244,                0.99169,                0.87463,                0.45151,                0.32906,                 1.9915,             0.00097156,             0.00097156,             0.00097156
                     20,                0.62579,                 0.4466,                 2.1269,                0.95554,                0.99385,                0.98339,                0.90261,                0.41399,                0.29258,                 1.9312,             0.00095609,             0.00095609,             0.00095609
                     21,                0.62151,                0.43892,                 2.1112,                0.97861,                0.97547,                0.99307,                0.90772,                0.44632,                0.29023,                 1.9226,             0.00094062,             0.00094062,             0.00094062
                     22,                 0.6188,                0.43779,                 2.0996,                0.96277,                 0.9964,                0.99247,                0.89638,                0.44453,                0.29628,                 1.9853,             0.00092516,             0.00092516,             0.00092516
                     23,                0.60791,                0.42897,                 2.0912,                0.98424,                0.98454,                0.99365,                0.89496,                0.44913,                0.29631,                 1.9186,             0.00090969,             0.00090969,             0.00090969
                     24,                0.61037,                0.43055,                 2.0999,                 0.9585,                0.98511,                0.99268,                0.90303,                0.42142,                0.29863,                 1.9095,             0.00089422,             0.00089422,             0.00089422
                     25,                 0.6044,                0.42917,                 2.0928,                0.94008,                0.99226,                0.98876,                0.90762,                0.40993,                0.28278,                 1.9105,             0.00087875,             0.00087875,             0.00087875
                     26,                 0.5886,                0.41533,                 2.0699,                 0.9643,                0.99515,                0.99372,                0.90284,                0.43625,                0.28407,                  1.889,             0.00086328,             0.00086328,             0.00086328
                     27,                0.59988,                 0.4256,                 2.0855,                0.94991,                 0.9928,                0.99113,                0.92901,                0.38398,                0.27158,                 1.8715,             0.00084781,             0.00084781,             0.00084781
                     28,                0.59119,                0.41814,                 2.0796,                 0.9726,                0.99232,                0.99338,                0.91041,                0.39031,                0.28162,                 1.8885,             0.00083234,             0.00083234,             0.00083234
                     29,                0.57639,                0.40867,                 2.0503,                0.97439,                0.99087,                0.99357,                0.91849,                0.39566,                0.27727,                  1.856,             0.00081688,             0.00081688,             0.00081688
                     30,                 0.5831,                0.40837,                 2.0747,                0.97598,                0.99346,                0.99383,                0.91762,                0.39707,                0.26858,                 1.8837,             0.00080141,             0.00080141,             0.00080141
                     31,                0.57466,                0.40671,                 2.0727,                0.94311,                0.99543,                0.99387,                0.92719,                0.38832,                0.27227,                 1.8809,             0.00078594,             0.00078594,             0.00078594
                     32,                0.57312,                0.40594,                 2.0606,                0.97317,                0.98997,                0.99421,                0.92353,                0.37665,                0.27133,                 1.8582,             0.00077047,             0.00077047,             0.00077047
                     33,                0.56438,                0.39839,                 2.0483,                0.98123,                0.99052,                0.99398,                0.92843,                0.36358,                0.26662,                   1.85,               0.000755,               0.000755,               0.000755
                     34,                0.56329,                0.39999,                 2.0626,                0.97129,                  0.992,                0.99414,                0.93009,                0.37434,                0.26845,                 1.8396,             0.00073953,             0.00073953,             0.00073953
                     35,                0.55625,                0.38891,                 2.0421,                0.98341,                0.98753,                  0.994,                0.93484,                0.36626,                0.26055,                 1.8426,             0.00072406,             0.00072406,             0.00072406
                     36,                0.55568,                0.39267,                 2.0495,                0.96962,                 0.9894,                0.99401,                0.93796,                 0.3558,                0.25303,                 1.8436,             0.00070859,             0.00070859,             0.00070859
                     37,                0.54942,                0.38586,                  2.029,                 0.9821,                 0.9965,                 0.9941,                 0.9309,                0.35985,                0.26128,                 1.8483,             0.00069313,             0.00069313,             0.00069313
                     38,                 0.5474,                0.38676,                 2.0406,                 0.9732,                0.99721,                0.99411,                0.94577,                0.35064,                0.25404,                 1.8495,             0.00067766,             0.00067766,             0.00067766
                     39,                0.54492,                0.38467,                 2.0318,                0.97055,                0.99565,                0.99309,                0.91985,                0.35719,                0.25849,                 1.8309,             0.00066219,             0.00066219,             0.00066219
                     40,                0.53605,                0.37564,                 2.0143,                0.97218,                0.99613,                0.99436,                0.93351,                0.34878,                0.24752,                 1.8306,             0.00064672,             0.00064672,             0.00064672
                     41,                0.52771,                0.37212,                 2.0143,                0.98427,                0.99755,                0.99449,                0.94075,                0.34294,                0.25036,                  1.845,             0.00063125,             0.00063125,             0.00063125
                     42,                0.53121,                0.37131,                 2.0178,                0.97266,                0.99768,                0.99413,                0.94388,                0.34546,                0.25232,                 1.8304,             0.00061578,             0.00061578,             0.00061578
                     43,                0.52566,                0.36937,                 2.0019,                0.95996,                0.99246,                0.99213,                0.93449,                0.34014,                0.25712,                 1.8123,             0.00060031,             0.00060031,             0.00060031
                     44,                0.52764,                0.37055,                 2.0216,                0.97492,                0.99277,                0.99367,                0.93535,                0.33995,                0.24374,                 1.7978,             0.00058484,             0.00058484,             0.00058484
                     45,                0.52534,                0.37122,                 2.0172,                0.96467,                0.99768,                0.99333,                0.93581,                0.33082,                0.24831,                 1.7943,             0.00056938,             0.00056938,             0.00056938
                     46,                0.51654,                0.36528,                 2.0118,                0.98417,                0.99763,                0.99375,                0.93782,                0.34153,                0.24592,                 1.8094,             0.00055391,             0.00055391,             0.00055391
                     47,                 0.5136,                0.36162,                  2.005,                0.98059,                0.99622,                0.99405,                0.94635,                0.32497,                0.23544,                 1.7864,             0.00053844,             0.00053844,             0.00053844
                     48,                0.51384,                0.36021,                 1.9992,                0.98375,                0.99721,                0.99421,                0.94386,                0.32251,                0.22847,                 1.7975,             0.00052297,             0.00052297,             0.00052297
                     49,                0.50562,                0.35628,                 1.9908,                0.98068,                0.99699,                0.99424,                0.94263,                0.32793,                0.23495,                 1.7951,              0.0005075,              0.0005075,              0.0005075
                     50,                0.50356,                0.35506,                 1.9901,                 0.9847,                0.99249,                0.99447,                0.95034,                0.32274,                0.22979,                 1.7936,             0.00049203,             0.00049203,             0.00049203
                     51,                0.50898,                0.35726,                 1.9982,                0.97581,                0.99437,                0.99413,                0.94583,                0.32546,                0.23563,                 1.7812,             0.00047656,             0.00047656,             0.00047656
                     52,                0.50652,                0.35286,                 2.0046,                0.96298,                0.99291,                0.99258,                0.94665,                0.31913,                0.23267,                 1.8064,             0.00046109,             0.00046109,             0.00046109
                     53,                0.49838,                0.35095,                 1.9868,                 0.9807,                0.99736,                0.99396,                0.94585,                0.31794,                0.23138,                 1.7883,             0.00044563,             0.00044563,             0.00044563
                     54,                0.49378,                 0.3479,                 1.9783,                0.97824,                0.99716,                0.99335,                0.94688,                0.31485,                0.22897,                 1.8054,             0.00043016,             0.00043016,             0.00043016
                     55,                0.49312,                0.34436,                 1.9752,                0.92562,                0.99497,                0.99076,                0.94777,                0.31878,                0.23521,                  1.784,             0.00041469,             0.00041469,             0.00041469
                     56,                0.48712,                0.34124,                 1.9782,                0.97921,                0.99433,                0.99423,                0.94966,                0.31331,                0.22436,                 1.7789,             0.00039922,             0.00039922,             0.00039922
                     57,                 0.4921,                 0.3478,                 1.9836,                 0.9783,                0.99227,                0.99436,                0.95261,                0.30745,                0.22464,                 1.7818,             0.00038375,             0.00038375,             0.00038375
                     58,                0.48133,                0.33858,                 1.9714,                0.97818,                0.99638,                0.99433,                0.95409,                0.31185,                0.22166,                 1.7893,             0.00036828,             0.00036828,             0.00036828
                     59,                0.48384,                0.33908,                 1.9655,                 0.9824,                0.99152,                0.99441,                0.95765,                0.29822,                 0.2154,                  1.771,             0.00035281,             0.00035281,             0.00035281
                     60,                 0.4793,                0.33395,                 1.9757,                0.98346,                0.99559,                0.99408,                0.95651,                0.29823,                0.21177,                 1.7692,             0.00033734,             0.00033734,             0.00033734
                     61,                 0.4672,                0.32812,                 1.9554,                0.97812,                0.99224,                0.99329,                0.94777,                0.30349,                0.21541,                  1.765,             0.00032188,             0.00032188,             0.00032188
                     62,                0.47488,                0.33273,                 1.9714,                0.98832,                0.99043,                0.99412,                0.94863,                0.30018,                0.21445,                 1.7664,             0.00030641,             0.00030641,             0.00030641
                     63,                0.47186,                0.33101,                 1.9719,                0.98966,                0.99152,                0.99442,                0.95883,                0.29115,                0.21724,                 1.7691,             0.00029094,             0.00029094,             0.00029094
                     64,                 0.4665,                0.32653,                 1.9496,                0.98093,                0.99686,                0.99409,                0.95748,                 0.2947,                0.21216,                 1.7683,             0.00027547,             0.00027547,             0.00027547
                     65,                0.46575,                0.32344,                 1.9523,                0.98326,                0.99314,                0.99365,                 0.9529,                0.29712,                 0.2164,                 1.7765,                0.00026,                0.00026,                0.00026
                     66,                0.46229,                 0.3233,                 1.9682,                0.97755,                0.99524,                0.99399,                 0.9564,                0.29179,                 0.2151,                 1.7783,             0.00024453,             0.00024453,             0.00024453
                     67,                0.46106,                0.32142,                 1.9558,                0.98099,                0.99541,                0.99306,                0.95803,                0.29466,                0.21414,                 1.7637,             0.00022906,             0.00022906,             0.00022906
                     68,                0.45793,                0.32145,                 1.9522,                0.98608,                 0.9946,                0.99459,                 0.9587,                0.29163,                0.21053,                 1.7612,             0.00021359,             0.00021359,             0.00021359
                     69,                0.45505,                0.31904,                  1.949,                 0.9901,                0.99484,                0.99394,                0.96046,                0.28849,                0.20607,                 1.7585,             0.00019813,             0.00019813,             0.00019813
                     70,                0.45288,                0.31649,                 1.9539,                0.98197,                0.99518,                0.99431,                0.96239,                0.28581,                0.20787,                 1.7518,             0.00018266,             0.00018266,             0.00018266
                     71,                0.30759,                0.23869,                 1.6122,                0.99125,                0.99401,                0.99437,                0.96351,                  0.291,                0.20598,                   1.78,             0.00016719,             0.00016719,             0.00016719
                     72,                 0.2974,                0.23029,                 1.5925,                0.98897,                0.99768,                0.99461,                0.96635,                0.28799,                0.20544,                 1.7672,             0.00015172,             0.00015172,             0.00015172
                     73,                0.28937,                0.22412,                 1.6016,                0.98904,                0.99754,                0.99455,                0.96586,                0.28659,                 0.2045,                 1.7711,             0.00013625,             0.00013625,             0.00013625
                     74,                0.28362,                0.22207,                 1.5918,                0.99186,                0.99516,                0.99456,                 0.9639,                 0.2823,                0.20136,                 1.7658,             0.00012078,             0.00012078,             0.00012078
                     75,                 0.2802,                0.21394,                 1.5843,                0.98947,                 0.9975,                0.99442,                 0.9666,                0.28034,                0.20236,                 1.7611,             0.00010531,             0.00010531,             0.00010531
                     76,                0.27243,                0.21251,                 1.5791,                0.99249,                0.99723,                0.99446,                0.96615,                0.27896,                0.19796,                 1.7588,             8.9844e-05,             8.9844e-05,             8.9844e-05
                     77,                0.27108,                0.21214,                 1.5742,                0.99286,                0.99576,                0.99451,                0.96421,                0.27619,                  0.197,                 1.7505,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     78,                  0.269,                0.20909,                 1.5678,                 0.9927,                 0.9974,                0.99449,                0.96828,                0.27649,                0.19985,                 1.7551,             5.8906e-05,             5.8906e-05,             5.8906e-05
                     79,                0.26548,                 0.2065,                 1.5679,                0.99235,                0.99736,                0.99448,                0.96518,                0.27466,                0.19665,                 1.7554,             4.3438e-05,             4.3438e-05,             4.3438e-05
                     80,                0.26414,                0.20757,                  1.571,                0.99212,                0.99728,                0.99447,                0.96896,                0.27459,                 0.1964,                 1.7543,             2.7969e-05,             2.7969e-05,             2.7969e-05
